"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"29","@msvcr central region morning drive. Great selection of cars #Corvette #mga #volvoamazon #Citroen #BMW #mercedes https://t.co/MLRp9msKf1",FALSE,0,"msvcr",2020-02-02 04:07:34,FALSE,NA,"1223820227894341633","99068595","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SpitfireKL",0,FALSE,FALSE,NA,NA
"30","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 04:05:20,FALSE,NA,"1223819667619352576",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","KamenCorgi",2929,TRUE,FALSE,NA,NA
"31","Pick your poison. 

#wrencheveryday #tavarish #builditbetter #lamborghini #mclaren #toyota #mercedes #amg… https://t.co/zQjlRxHfo9",FALSE,6,NA,2020-02-02 04:02:02,TRUE,NA,"1223818834651623424",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","theRealTavarish",0,FALSE,FALSE,NA,NA
"32","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 04:01:54,FALSE,NA,"1223818801105555457",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","auxchoir",2929,TRUE,FALSE,NA,NA
"33","RT @BaytreeCarsLtd: Some amazing shots of our Mercedes AMG GTS in London taken by @TheTFJJ  #Mercedes #AMGGTS #AMG #Baytree
#FridayThoughts…",FALSE,0,NA,2020-02-02 03:57:17,FALSE,NA,"1223817641124487168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DkJHH3SF2Yl063B",4,TRUE,FALSE,NA,NA
"34","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 03:45:11,FALSE,NA,"1223814596068368384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mochidreamz",2929,TRUE,FALSE,NA,NA
"35","Arrive In Style With New Mercedes E Class!

Available On Rent in Delhi and Mumbai. Hurry Up!

Call To Book Now - +9… https://t.co/JvxuprcjIs",FALSE,0,NA,2020-02-02 03:40:11,TRUE,NA,"1223813338401951745",NA,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","Ecorentindia",0,FALSE,FALSE,NA,NA
"36","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 03:31:51,FALSE,NA,"1223811240256069634",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mlmjigen",2929,TRUE,FALSE,NA,NA
"37","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 03:28:11,FALSE,NA,"1223810315135012865",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Firehouselight",2929,TRUE,FALSE,NA,NA
"38","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 03:13:04,FALSE,NA,"1223806514445590528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stainingspade0",2929,TRUE,FALSE,NA,NA
"39","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 03:12:12,FALSE,NA,"1223806295687319554",NA,"<a href=""http://www.twitpane.com"" rel=""nofollow"">TwitPanePlus</a>","Digital_Sigh",2929,TRUE,FALSE,NA,NA
"40","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 03:11:56,FALSE,NA,"1223806226548580352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","goreboyfriend",2929,TRUE,FALSE,NA,NA
"41","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 03:10:24,FALSE,NA,"1223805843176509442",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","trickster227",2929,TRUE,FALSE,NA,NA
"42","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 03:06:55,FALSE,NA,"1223804965426102275",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rvlvr_ocelthot",2929,TRUE,FALSE,NA,NA
"43","https://t.co/J3EbgCzCzb

The Mercedes X-Class Will Soon Be Dead

TAG A Friend!!  😄👍

#mercedes #mercedesbenz… https://t.co/QZEK0HHK7P",FALSE,2,NA,2020-02-02 03:00:21,TRUE,NA,"1223803312794812419",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","liftkits4less",0,FALSE,FALSE,NA,NA
"44","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:58:04,FALSE,NA,"1223802738774929408",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gogotiru",2929,TRUE,FALSE,NA,NA
"45","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:57:58,FALSE,NA,"1223802711583232001",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","myongneed5",2929,TRUE,FALSE,NA,NA
"46","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:55:32,FALSE,NA,"1223802100028563457",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Teshia_00",2929,TRUE,FALSE,NA,NA
"47","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:54:59,FALSE,NA,"1223801963696943105",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dgloos",2929,TRUE,FALSE,NA,NA
"48","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:54:22,FALSE,NA,"1223801805555060737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SadGoldFeelings",2929,TRUE,FALSE,NA,NA
"49","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:54:20,FALSE,NA,"1223801800060358656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GS_Eyong",2929,TRUE,FALSE,NA,NA
"50","RT @fluttershy520: Maybe it's a big OOC headcanon but I think Lysithea and Bernadetta will have a nightmare after listening Mercedes's scar…",FALSE,0,NA,2020-02-02 02:53:52,FALSE,NA,"1223801679021142018",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","discoFactorial",2929,TRUE,FALSE,NA,NA
